DATE/TIME,CODE,SPACE,FLOOR,EVENT
1/9/2023 9:59:18 AM,SI31ZC02ASF/DC03 ,027007031,SF/DC03 TP1,Occupied
1/9/2023 9:59:10 AM,SI31ZC02ASF/DC03 ,027007031,SF/DC03 TP1,Vacant
1/9/2023 9:59:08 AM,SI44ZC02BSF/DC03 ,027009044,SF/DC03 TP1,Occupied
1/9/2023 9:58:55 AM,SI30ZC01BSF/DC03 ,027008030,SF/DC03 TP1,Occupied
1/9/2023 9:58:20 AM,SI46ZC02BSF/DC03 ,027009046,SF/DC03 TP1,Occupied
1/9/2023 9:58:15 AM,SI30ZC01BSF/DC03 ,027008030,SF/DC03 TP1,Vacant
1/9/2023 9:58:08 AM,SI49ZC02BSF/DC03 ,027009049,SF/DC03 TP1,Occupied
1/9/2023 9:57:58 AM,SI31ZC02ASF/DC03 ,027007031,SF/DC03 TP1,Occupied
1/9/2023 9:57:44 AM,SI26ZC02ASF/DC03 ,027007026,SF/DC03 TP1,Occupied
1/9/2023 9:57:37 AM,SI32ZC02ASF/DC03 ,027007032,SF/DC03 TP1,Occupied
1/9/2023 9:57:19 AM,SI45ZC02BSF/DC03 ,027009045,SF/DC03 TP1,Occupied
1/9/2023 9:57:04 AM,SI33ZC02ASF/DC03 ,027007033,SF/DC03 TP1,Occupied
1/9/2023 9:57:03 AM,SI24ZC01ASF/DC03 ,027006024,SF/DC03 TP1,Occupied
1/9/2023 9:56:49 AM,SI24ZC01ASF/DC03 ,027006024,SF/DC03 TP1,Vacant
1/9/2023 9:56:37 PM,SI11ZC01BSF/DC03 ,027008011,SF/DC03 TP1,Vacant
1/9/2023 9:56:29 AM,SI40ZC02BSF/DC03 ,027009040,SF/DC03 TP1,Occupied
1/9/2023 9:56:22 PM,SI11ZC01BSF/DC03 ,027008011,SF/DC03 TP1,Occupied
1/9/2023 9:55:59 AM,SI25ZC02ASF/DC03 ,027007025,SF/DC03 TP1,Occupied
1/9/2023 9:55:43 AM,SI48ZC02BSF/DC03 ,027009048,SF/DC03 TP1,Occupied
1/9/2023 9:55:09 AM,SI47ZC02BSF/DC03 ,027009047,SF/DC03 TP1,Occupied
1/9/2023 9:55:07 AM,SI50ZC02BSF/DC03 ,027009050,SF/DC03 TP1,Occupied
1/9/2023 9:54:58 AM,SI05ZC02ASF/DC03 ,027007005,SF/DC03 TP1,Occupied
1/9/2023 9:54:51 AM,SI03ZC02ASF/DC03 ,027007003,SF/DC03 TP1,Occupied
1/9/2023 9:54:06 AM,SI37ZC02ASF/DC03 ,027007037,SF/DC03 TP1,Occupied
1/9/2023 9:53:53 AM,SI51ZC02BSF/DC03 ,027009051,SF/DC03 TP1,Occupied
1/9/2023 9:53:34 AM,SI65ZC01BSF/DC03 ,027008065,SF/DC03 TP1,Occupied
1/9/2023 9:53:26 AM,SI24ZC02ASF/DC03 ,027007024,SF/DC03 TP1,Occupied
1/9/2023 9:53:19 AM,SI23ZC02ASF/DC03 ,027007023,SF/DC03 TP1,Occupied
1/9/2023 9:53:09 AM,SI63ZC01BSF/DC03 ,027008063,SF/DC03 TP1,Occupied
1/9/2023 9:53:03 AM,SI39ZC02BSF/DC03 ,027009039,SF/DC03 TP1,Occupied
1/9/2023 9:52:48 AM,SI02ZC02ASF/DC03 ,027007002,SF/DC03 TP1,Occupied
1/9/2023 9:52:46 AM,SI19ZC02ASF/DC03 ,027007019,SF/DC03 TP1,Occupied
1/9/2023 9:52:39 AM,SI02ZC02ASF/DC03 ,027007002,SF/DC03 TP1,Vacant
1/9/2023 9:52:31 AM,SI02ZC02ASF/DC03 ,027007002,SF/DC03 TP1,Occupied
1/9/2023 9:52:04 AM,SI36ZC02ASF/DC03 ,027007036,SF/DC03 TP1,Occupied
1/9/2023 9:51:59 AM,SI08ZC02ASF/DC03 ,027007008,SF/DC03 TP1,Occupied
1/9/2023 9:51:38 AM,SI27ZC02ASF/DC03 ,027007027,SF/DC03 TP1,Occupied
1/9/2023 9:51:28 AM,SI67ZC01BSF/DC03 ,027008067,SF/DC03 TP1,Occupied
