ticket_id,ticket_priority,ticket_assignee_id,ticket_manager_id,ticket_assignee_dept,ticket_creation_day,ticket_completion_time
10000001,medium,16,108,Commercial,Wednesday,115.9878824
10000002,high,18,111,Manufacturing,Saturday,101.7967362
10000003,high,7,106,Commercial,Friday,114.9577469
10000004,low,1,103,Administrative,Thursday,170.0741377
10000005,low,4,112,Commercial,Sunday,98.32736594
10000006,low,14,110,Development,Wednesday,94.56760477
10000007,high,1,103,Administrative,Monday,141.9669172
10000008,medium,13,112,Commercial,Wednesday,91.107639
10000009,medium,2,107,Manufacturing,Monday,99.90553601
10000010,medium,9,107,Manufacturing,Tuesday,114.9566747
10000011,critical,5,110,Development,Saturday,92.21067907
10000012,critical,10,107,Manufacturing,Wednesday,102.4530526
10000013,high,11,104,Research,Wednesday,53.92506446
10000014,high,3,105,Administrative,Wednesday,113.8408338
10000015,medium,15,110,Development,Saturday,93.24218673
10000016,high,3,105,Administrative,Saturday,75.44963488
10000017,high,8,106,Commercial,Friday,121.4764465
10000018,critical,17,106,Commercial,Thursday,103.7281764
10000019,medium,10,107,Manufacturing,Sunday,155.5593527
10000020,low,1,103,Administrative,Tuesday,134.4806975
10000021,medium,2,107,Manufacturing,Monday,151.7126041
10000022,high,8,106,Commercial,Sunday,93.08067589
10000023,high,13,112,Commercial,Friday,149.537668
10000024,low,3,105,Administrative,Sunday,162.5018588
10000025,medium,19,108,Commercial,Friday,186.9892161
10000026,critical,15,110,Development,Tuesday,51.59378709
10000027,medium,3,105,Administrative,Thursday,94.10843371
10000028,low,13,112,Commercial,Tuesday,132.4583162
10000029,medium,17,106,Commercial,Wednesday,114.108647
10000030,high,17,106,Commercial,Sunday,82.31328483
10000031,medium,4,112,Commercial,Saturday,132.4260851
10000032,high,13,112,Commercial,Friday,116.5451024
10000033,critical,4,112,Commercial,Wednesday,106.8445014
10000034,low,10,107,Manufacturing,Tuesday,150.2595459
10000035,high,5,110,Development,Friday,109.5408351
10000036,critical,12,110,Development,Wednesday,101.9805926
10000037,high,1,103,Administrative,Monday,97.54567256
10000038,low,16,108,Commercial,Monday,172.6520896
10000039,critical,2,107,Manufacturing,Friday,84.67202116
10000040,critical,15,110,Development,Wednesday,51.85866993
10000041,low,7,106,Commercial,Tuesday,122.6002292
10000042,critical,10,107,Manufacturing,Tuesday,40.43265389
10000043,medium,15,110,Development,Wednesday,84.69318763
10000044,low,11,104,Research,Wednesday,157.0630321
10000045,low,13,112,Commercial,Tuesday,172.7047104
10000046,low,18,111,Manufacturing,Monday,178.6011511
10000047,high,8,106,Commercial,Wednesday,98.13806345
10000048,low,7,106,Commercial,Tuesday,180.3691675
10000049,critical,3,105,Administrative,Wednesday,75.72335942
10000050,high,7,106,Commercial,Sunday,130.6793593
10000051,high,18,111,Manufacturing,Thursday,68.50453042
10000052,high,12,110,Development,Sunday,86.16143459
10000053,critical,11,104,Research,Monday,69.9459072
10000054,low,6,108,Commercial,Tuesday,93.30025831
10000055,low,13,112,Commercial,Sunday,101.4467447
10000056,low,17,106,Commercial,Tuesday,122.7624303
10000057,critical,5,110,Development,Thursday,79.12627753
10000058,medium,2,107,Manufacturing,Sunday,120.2729779
10000059,critical,16,108,Commercial,Saturday,60.0446651
10000060,medium,5,110,Development,Tuesday,65.51256879
10000061,medium,13,112,Commercial,Saturday,119.1521827
10000062,high,7,106,Commercial,Wednesday,72.82047429
10000063,high,15,110,Development,Wednesday,36.19548531
10000064,low,7,106,Commercial,Sunday,180.9773654
10000065,high,16,108,Commercial,Monday,122.4865092
10000066,low,3,105,Administrative,Tuesday,155.8545977
10000067,critical,6,108,Commercial,Monday,92.24117317
10000068,critical,8,106,Commercial,Sunday,120.3346973
10000069,low,9,107,Manufacturing,Sunday,127.0977129
10000070,low,9,107,Manufacturing,Sunday,178.6132867
10000071,medium,3,105,Administrative,Tuesday,143.6454228
10000072,medium,2,107,Manufacturing,Tuesday,104.042818
10000073,medium,19,108,Commercial,Monday,163.9012583
10000074,medium,6,108,Commercial,Tuesday,150.7403885
10000075,medium,18,111,Manufacturing,Saturday,133.3371568
10000076,medium,9,107,Manufacturing,Wednesday,157.8886082
10000077,high,6,108,Commercial,Thursday,105.4887538
10000078,medium,3,105,Administrative,Friday,143.6350848
10000079,medium,6,108,Commercial,Friday,159.8157876
10000080,medium,6,108,Commercial,Tuesday,137.7765615
10000081,high,13,112,Commercial,Friday,113.6850583
10000082,critical,7,106,Commercial,Sunday,38.53031975
10000083,medium,17,106,Commercial,Sunday,153.5533691
10000084,low,15,110,Development,Saturday,123.5240679
10000085,high,7,106,Commercial,Sunday,56.85295183
10000086,low,12,110,Development,Friday,129.6448904
10000087,low,4,112,Commercial,Tuesday,115.9336359
10000088,medium,12,110,Development,Sunday,117.6814979
10000089,low,4,112,Commercial,Monday,143.227807
10000090,high,8,106,Commercial,Wednesday,81.74435201
10000091,high,15,110,Development,Thursday,104.2583672
10000092,medium,8,106,Commercial,Sunday,124.0796847
10000093,high,10,107,Manufacturing,Monday,124.1715787
10000094,low,1,103,Administrative,Friday,167.5743212
10000095,critical,16,108,Commercial,Monday,100.0414665
10000096,low,17,106,Commercial,Sunday,149.0314856
10000097,low,5,110,Development,Saturday,158.7808724
10000098,critical,18,111,Manufacturing,Thursday,41.09270014
10000099,critical,19,108,Commercial,Thursday,50.20848728
10000100,high,11,104,Research,Thursday,110.3666065
10000101,low,18,111,Manufacturing,Saturday,168.1059679
10000102,medium,4,112,Commercial,Monday,81.57305339
10000103,low,11,104,Research,Friday,153.3429649
10000104,critical,3,105,Administrative,Wednesday,102.8508854
10000105,low,3,105,Administrative,Thursday,152.13922
10000106,critical,7,106,Commercial,Thursday,116.9171516
10000107,high,7,106,Commercial,Wednesday,111.7462977
10000108,low,18,111,Manufacturing,Sunday,102.0103168
10000109,low,13,112,Commercial,Monday,99.99352563
10000110,high,9,107,Manufacturing,Sunday,78.5676018
10000111,critical,15,110,Development,Monday,60.9854396
10000112,critical,16,108,Commercial,Saturday,75.42615527
10000113,low,4,112,Commercial,Friday,207.1628599
10000114,medium,5,110,Development,Monday,108.9086798
